-607.234,40.1512,62.9682
-607.61,40.138,62.9822
-607.901,40.0615,65.2578
-608.278,40.0483,65.2718
-608.669,40.0457,64.9088
-608.989,39.9903,66.4306
-609.365,39.9771,66.4446
-609.742,39.964,66.4586
-610.09,39.9297,67.2264
-610.453,39.906,67.6174
-610.801,39.8717,68.3852
-611.135,39.8268,69.5301
-611.497,39.8031,69.921
-611.86,39.7794,70.3119
-612.222,39.7556,70.7029
-612.571,39.7214,71.4707
-612.933,39.6976,71.8617
-613.31,39.6845,71.8757
-613.658,39.6502,72.6435
-614.006,39.6159,73.4114
-614.369,39.5922,73.8023
-614.731,39.5684,74.1933
-615.094,39.5447,74.5842
-615.456,39.521,74.9751
-615.819,39.4973,75.3661
-616.167,39.463,76.1339
-616.486,39.4076,77.6557
-616.863,39.3944,77.6697
-617.24,39.3812,77.6837
-617.588,39.347,78.4516
-617.965,39.3338,78.4655
-618.327,39.3101,78.8565
-618.69,39.2863,79.2474
-619.024,39.2415,80.3922
-619.372,39.2072,81.1601
-619.734,39.1835,81.551
-620.097,39.1598,81.942
-620.474,39.1466,81.956
-620.822,39.1123,82.7238
-621.184,39.0886,83.1148
-621.547,39.0649,83.5057
-621.909,39.0411,83.8966
-622.272,39.0174,84.2876
-622.634,38.9937,84.6785
-622.997,38.97,85.0694
-623.359,38.9462,85.4604
-623.722,38.9225,85.8513
-624.07,38.8882,86.6192
-624.447,38.8751,86.6332
-624.795,38.8408,87.401
-625.157,38.8171,87.792
-625.534,38.8039,87.806
-625.868,38.759,88.9508
-626.245,38.7459,88.9648
-626.622,38.7327,88.9788
-626.999,38.7196,88.9928
-627.361,38.6958,89.3837
-627.724,38.6721,89.7746
-628.101,38.659,89.7886
-628.449,38.6247,90.5565
-628.826,38.6115,90.5705
-629.174,38.5772,91.3384
-629.551,38.5641,91.3524
-629.913,38.5403,91.7433
-630.29,38.5272,91.7573
-630.638,38.4929,92.5252
-631.015,38.4797,92.5392
-631.392,38.4666,92.5532
-631.754,38.4428,92.9441
-632.117,38.4191,93.335
-632.451,38.3743,94.4798
-632.827,38.3611,94.4938
-633.219,38.3585,94.1309
-633.581,38.3348,94.5218
-633.915,38.2899,95.6666
-634.306,38.2873,95.3037
-634.683,38.2742,95.3177
-635.06,38.261,95.3317
-635.394,38.2162,96.4765
-635.756,38.1924,96.8674
-636.133,38.1793,96.8814
-636.51,38.1661,96.8954
-636.872,38.1424,97.2864
-637.838,38.5624,81.846
-637.597,38.0949,98.0682
-637.974,38.0818,98.0822
-638.351,38.0686,98.0962
-638.714,38.0449,98.4872
-639.076,38.0212,98.8781
-639.453,38.008,98.8921
-639.816,37.9843,99.283
-640.192,37.9711,99.297
-640.555,37.9474,99.688
-640.932,37.9342,99.702
-641.294,37.9105,100.093
-641.671,37.8974,100.107
-642.048,37.8842,100.121
-642.411,37.8605,100.512
-642.787,37.8473,100.526
-643.164,37.8342,100.54
-643.541,37.821,100.554
-643.889,37.7867,101.322
-644.266,37.7735,101.336
-644.643,37.7604,101.35
